Woo Order Number,Order ID,Channel ID,Country,State,order_created_ts,Order Updates,Update Timestamp,Carrier,Tracking Number,Tracking Shipped,shipstation_create_ts,pipe17_ts,delivered_ts,Channel,order_to_shipstation_hrs,shipstation_to_pipe17_hrs,pipe17_to_delivered_hrs,order_to_delivered_hrs,sales_channel,delivery_speed_category,order_date_day
309306,nan,0,US,CA,9/26/2025 20:38,,9/29/2025 7:38,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309305,nan,0,US,NJ,9/26/2025 19:31,,9/29/2025 7:38,FedEx,3.93718E+11,9/29/2025 14:54,,,,,,,,,nan,,9/26/2025
309303,111-3486078-1707456,90,US,ID,9/26/2025 17:06,,9/29/2025 7:38,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 15:05,,,,-2.009722222,,,,nan,,9/26/2025
309300,113-3758180-4380236,90,US,FL,9/26/2025 14:21,,9/29/2025 7:38,FedEx,3.93719E+11,9/29/2025 14:54,9/26/2025 12:20,,,,-2.009722222,,,,nan,,9/26/2025
309299,nan,0,US,CT,9/26/2025 13:51,,9/29/2025 7:38,FedEx,3.9372E+11,9/29/2025 14:55,,,,,,,,,nan,,9/26/2025
309318,111-0057261-5615446,90,US,CT,9/27/2025 11:06,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:55,9/27/2025 9:05,,,,-2.009444444,,,,nan,,9/27/2025
309321,nan,0,US,WA,9/27/2025 12:57,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
309311,nan,0,US,CO,9/27/2025 8:10,,9/29/2025 7:39,FedEx,3.93718E+11,9/29/2025 14:55,,,,,,,,,nan,,9/27/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/29/2025 7:39,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/29/2025 7:39,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/29/2025 7:39,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/29/2025 7:39,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/29/2025 7:39,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/29/2025 7:39,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/29/2025 7:39,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309322,111-4004528-9102622,90,US,MI,9/27/2025 13:36,,9/29/2025 7:39,FedEx,3.93718E+11,9/29/2025 14:55,9/27/2025 11:35,,,,-2.009166667,,,,nan,,9/27/2025
309307,112-0000406-3151439,90,US,CO,9/26/2025 22:06,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:55,9/26/2025 20:05,,,,-2.009444444,,,,nan,,9/26/2025
